Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees
Appalachian State University,197869,2005,Football Championship Subdivision,,541546.7117,463318.2618,1120669.69,460658.476,483692.725,607337.6478,660911.0623,5779164.67
Appalachian State University,197869,2006,Football Championship Subdivision,,630770.4543,690046.5671,1313951.052,1239448.614,566079.1102,835423.3168,566419.3274,5853712.247
Appalachian State University,197869,2007,Football Championship Subdivision,,661130.375,798685.3964,1209911.251,472767.3718,775653.0438,1242693.533,1001482.939,6926162.45
Appalachian State University,197869,2008,Football Championship Subdivision,,1009817.035,1037718.551,1365581.49,676771.9225,900588.6916,1511277.382,1877308.815,7498326.37
Appalachian State University,197869,2009,Football Championship Subdivision,,885100.9666,858763.4799,914381.998,1097338.983,869289.0649,2974038.122,1796206.462,8985801.092
Appalachian State University,197869,2010,Football Championship Subdivision,,668896.9383,855179.3068,1973842.032,636973.941,1090193.621,3238275.683,765954.9091,9601767.226
Appalachian State University,197869,2011,Football Championship Subdivision,,1634365.09,533651.8713,3320025.469,922609.8843,1092580.899,2693065.924,534565.4341,9690377.467
Appalachian State University,197869,2012,Football Championship Subdivision,,1456102.764,837568.2675,2498209.415,842568.776,1157723.683,2677062.139,667981.5898,10880031.13
Appalachian State University,197869,2013,Football Championship Subdivision,,751702.759,1075285.205,4036360.438,782505.8508,1230513.856,2593735.643,544813.4368,10955562.97
Appalachian State University,197869,2014,Football Championship Subdivision,,707159.3404,1100271.378,3848971.593,882544.6261,1309623.857,2133615.252,1118513.302,10124427.36
Appalachian State University,197869,2015,Football Bowl Subdivision,Sun Belt Conference,616382.8322,1117681.576,4141031.08,1591721.925,1967211.429,1751861.041,9223934.019,12015705.64
Appalachian State University,197869,2016,Football Bowl Subdivision,Sun Belt Conference,1013110.862,1101989.355,4163780.688,1281831.864,3047295.105,1696760.634,9778541.775,12113417.87
Appalachian State University,197869,2017,Football Bowl Subdivision,Sun Belt Conference,946816.3119,1196690.091,3081425.01,1999528.721,4720606.716,2626984.265,9976502.184,12468328.34
Appalachian State University,197869,2018,Football Bowl Subdivision,Sun Belt Conference,872850.1466,1318667.305,4744003.269,1696759.413,2941862.857,3244701.817,10353203.87,12902219.39
Appalachian State University,197869,2019,Football Bowl Subdivision,Sun Belt Conference,743746.9472,2745027.603,4111799.436,1592038.829,3704913.315,3269063.253,9442622.312,12856019.35
Appalachian State University,197869,2020,Football Bowl Subdivision,Sun Belt Conference,1422715,1709945,3906735,1737825,2319167,4013750,6562672,13273619
Appalachian State University,197869,2021,Football Bowl Subdivision,Sun Belt Conference,,,,,,,,
Arizona State University,104151,2005,Football Bowl Subdivision,Pacific-12 Conference,3058719.27,4509872.985,11371716.27,1941989.561,10869745.64,9514585.41,13511608.74,0
Arizona State University,104151,2006,Football Bowl Subdivision,Pacific-12 Conference,4391412.358,4955750.583,15137918.31,1494736.071,10576294.63,13165128.24,14815479.67,0
Arizona State University,104151,2007,Football Bowl Subdivision,Pacific-12 Conference,3533794.742,5098358.287,14758189.62,2262693.975,10635248.72,10998671.09,21035490.56,0
Arizona State University,104151,2008,Football Bowl Subdivision,Pacific-12 Conference,3794948.669,4895548.106,14601454,1070835.898,11474556.15,16037812.85,14038816.12,0
Arizona State University,104151,2009,Football Bowl Subdivision,Pacific-12 Conference,3857749.349,5581321.433,13257114.85,2029805.685,11533832.3,16187272.44,10153927.5,0
Arizona State University,104151,2010,Football Bowl Subdivision,Pacific-12 Conference,3595757.231,12400382.43,11982099.3,1512805.395,11001956.7,14289346.51,12283916.19,0
Arizona State University,104151,2011,Football Bowl Subdivision,Pacific-12 Conference,3557818.746,12445605.94,13787267.33,1987054.428,10252437.23,9323969.729,12266309.45,0
Arizona State University,104151,2012,Football Bowl Subdivision,Pacific-12 Conference,4663913.195,12588452.16,12699366.28,1107699.435,14541007.57,10211895.1,11660158.93,0
Arizona State University,104151,2013,Football Bowl Subdivision,Pacific-12 Conference,4060982.025,10030952.5,14151170.98,333294.6519,22488288.95,10654310.15,11243593.98,0
Arizona State University,104151,2014,Football Bowl Subdivision,Pacific-12 Conference,4115702.061,11094332.28,14758581.16,1530546.171,25099265.94,14086637.5,11012503.81,0
Arizona State University,104151,2015,Football Bowl Subdivision,Pacific-12 Conference,4008434.268,11224321.13,16129028.44,0,27624210.43,12057388.72,10288185.3,10872894.97
Arizona State University,104151,2016,Football Bowl Subdivision,Pacific-12 Conference,4390035.28,14726201.41,17966040.89,2527961.794,30683440.2,12831534.87,7548777.616,11405355.39
Arizona State University,104151,2017,Football Bowl Subdivision,Pacific-12 Conference,4056891.995,17539424.59,20908596.96,600254.5625,33634508.94,10593918.64,8511184.186,11409000.99
Arizona State University,104151,2018,Football Bowl Subdivision,Pacific-12 Conference,4044005.624,18625392.75,25761695.38,522040.1778,34143599.27,12782429.46,10056329.47,11187808.52
Arizona State University,104151,2019,Football Bowl Subdivision,Pacific-12 Conference,4497296.925,19192926.89,30965978.71,457160.7438,35460463.37,13031363,8502512.581,11092395.67
Arizona State University,104151,2020,Football Bowl Subdivision,Pacific-12 Conference,4874619,20252086,15092858,504500,35382081,13763930,5744006,11375799
Arizona State University,104151,2021,Football Bowl Subdivision,Pacific-12 Conference,935907,17802019,7940129,0,21484281,342176,57869086,11301712
